1MO,3MO,6MO,1YR,2YR,3YR,5YR,7YR,10YR,20YR,30YR
2.695456,2.8238373,2.9776833,3.1368794,3.3000793,3.2767456,3.2174735,3.2114437,3.2473671,3.2623277,3.2519007
2.720017,2.8494701,3.0041766,3.1610124,3.3233547,3.2998452,3.2376423,3.2307327,3.2662528,3.2825303,3.2670739
2.7534606,2.8844523,3.040533,3.1937287,3.3546743,3.3312817,3.265596,3.2575502,3.292596,3.3113222,3.288865
2.8388686,2.9739923,3.1346717,3.2764268,3.4326015,3.4115314,3.3396206,3.3287055,3.3628845,3.3912828,3.350147
2.9037714,3.0419257,3.2070673,3.3384655,3.4899328,3.472676,3.3983366,3.3849428,3.418678,3.4574637,3.4014368
3.1225426,3.267,3.45043,3.5465987,3.677999,3.6844676,3.6081486,3.5835495,3.6145818,3.6992931,3.591555
3.580257,3.7176101,3.9388494,4.0270267,4.1306496,4.182052,4.078808,4.039269,4.042813,4.1785884,3.9917297
3.8830583,4.0119915,4.28144,4.397026,4.5385375,4.598181,4.4782004,4.421104,4.3914046,4.496843,4.280286
4.0522304,4.1938095,4.5074563,4.6428823,4.8768663,4.934645,4.8269887,4.7457414,4.669357,4.7485,4.4961343
4.1014185,4.2500534,4.574264,4.712117,4.9818945,5.037567,4.939096,4.8509398,4.75381,4.8302903,4.560771
4.13075,4.283049,4.61211,4.7493925,5.037671,5.0920978,4.999491,4.9080586,4.7991548,4.875601,4.5960584
4.1847696,4.3421216,4.67733,4.809692,5.122581,5.175123,5.0930643,4.997314,4.870614,4.9491687,4.654017
4.2262764,4.3861933,4.7237725,4.849616,5.1719327,5.2234936,5.1489496,5.051132,4.9152503,4.996665,4.693099
4.272979,4.4349003,4.7730327,4.889748,5.213809,5.264743,5.1980987,5.098824,4.9569955,5.0425205,4.7330875
4.366691,4.5310216,4.8647566,4.9605637,5.266137,5.317152,5.2650943,5.1644077,5.0214205,5.1176343,4.805303
4.4167156,4.5817137,4.91082,4.995276,5.2827907,5.3343983,5.289699,5.188551,5.0488515,5.1520433,4.841317
4.535206,4.699653,5.0131044,5.0730257,5.30568,5.3588514,5.330916,5.228066,5.1024323,5.225034,4.923126
4.594966,4.7574434,5.060891,5.1107593,5.3129716,5.3661613,5.346461,5.2419114,5.125601,5.2590337,4.963442
4.6535397,4.8124657,5.1047626,5.1469684,5.3192563,5.37133,5.3595386,5.2525287,5.146566,5.2908673,5.002621
4.7161856,4.8690763,5.147973,5.1848736,5.3260717,5.3753276,5.371623,5.261091,5.1675096,5.3232226,5.0442076
4.774462,4.9193525,5.184526,5.2193604,5.3329253,5.378044,5.3810587,5.266748,5.1859803,5.3514557,5.0824428
4.8378515,4.971361,5.220501,5.255804,5.3401875,5.379697,5.388138,5.2702665,5.2051287,5.3791556,5.12286
4.877853,5.0029426,5.2416253,5.278059,5.343813,5.379714,5.3898945,5.271008,5.216745,5.394351,5.1471624
4.9128523,5.029991,5.259381,5.2967787,5.3454795,5.378418,5.3886676,5.2703667,5.22635,5.4055305,5.167132
4.933024,5.0454,5.269345,5.307081,5.3454175,5.376725,5.3863173,5.2691965,5.231428,5.4107604,5.1778603
4.9523745,5.060064,5.2786355,5.3163967,5.344221,5.3739195,5.382373,5.267099,5.235631,5.4145503,5.18737
4.9663005,5.070539,5.285113,5.3226275,5.3424683,5.370916,5.37824,5.264776,5.2380424,5.41632,5.1935925
4.9742823,5.0764885,5.2886634,5.325883,5.3408856,5.3685155,5.3750696,5.262864,5.238975,5.4167466,5.1967945
4.9836464,5.0834117,5.2926817,5.3293886,5.3384924,5.3650556,5.370598,5.260066,5.2396073,5.4166646,5.2001677
